valuecode	valuetext	10-years_classes	25-years_classes
0-4	0-4 years	0-9	0-24
5-9	5-9 years	0-9	0-24
10-14	10-14 years	10-19	0-24
15-19	15-19 years	10-19	0-24
20-24	20-24 years	20-29	0-24
25-29	25-29 years	20-29	25-49
30-34	30-34 years	30-39	25-49
35-39	35-39 years	30-39	25-49
40-44	40-44 years	40-49	25-49
45-49	45-49 years	40-49	25-49
50-54	50-54 years	50-59	50-74
55-59	55-59 years	50-59	50-74
60-64	60-64 years	61-69	50-74
65-69	65-69 years	61-69	50-74
70-74	70-74 years	70+	50-74
75+	75+ years	70+	75+
