keyword	mandatory	table_meta	language_dependent	indexed_by_contvariable	quote_value	default_value	documentation
CHARSET	FALSE	TRUE	FALSE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A41%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C652%2C0%5D
AXIS-VERSION	FALSE	TRUE	FALSE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A40%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C699%2C0%5D
CODEPAGE	FALSE	TRUE	FALSE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A41%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C497%2C0%5D
LANGUAGE	FALSE	TRUE	FALSE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A48%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C318%2C0%5D
LANGUAGES	FALSE	FALSE	FALSE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A48%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C164%2C0%5D
CREATION-DATE	FALSE	TRUE	FALSE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A42%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C176%2C0%5D
NEXT-UPDATE	FALSE	TRUE	FALSE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A49%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C144%2C0%5D
PX-SERVER	FALSE	FALSE	FALSE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A52%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C244%2C0%5D
DIRECTORY-PATH	FALSE	FALSE	FALSE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A45%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C313%2C0%5D
UPDATE-FREQUENCY	FALSE	TRUE	FALSE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A55%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C232%2C0%5D
TABLEID	FALSE	TRUE	FALSE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A54%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C280%2C0%5D
SYNONYMS	FALSE	FALSE	FALSE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A54%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C406%2C0%5D
DEFAULT-GRAPH	FALSE	FALSE	FALSE	FALSE	FALSE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A45%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C539%2C0%5D
DECIMALS	TRUE	TRUE	FALSE	FALSE	FALSE	0	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A34%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C355%2C0%5D
SHOWDECIMALS	FALSE	TRUE	FALSE	FALSE	FALSE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A53%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C305%2C0%5D
ROUNDING	FALSE	FALSE	FALSE	FALSE	FALSE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A53%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C612%2C0%5D
MATRIX	TRUE	TRUE	FALSE	FALSE	TRUE	matrix	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A35%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C442%2C0%5D
AGGREGALLOWED	FALSE	TRUE	FALSE	FALSE	FALSE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A37%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C601%2C0%5D
